"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2025-10-24 15:08:10","SELL","BANKNIFTY25DEC59100CE","NRML","35/35",698.8,"COMPLETE",""
"2025-10-24 15:08:01","BUY","BANKNIFTY25DEC58000CE","NRML","35/35",1240.7,"COMPLETE",""
"2025-10-24 15:07:33","SELL","BANKNIFTY25DEC59100CE","NRML","35/35",693.65,"COMPLETE",""
"2025-10-24 15:07:23","BUY","BANKNIFTY25DEC58000CE","NRML","35/35",1236.95,"COMPLETE",""
"2025-10-24 14:21:46","SELL","BANKNIFTY25DEC58000PE","NRML","35/35",962.95,"COMPLETE",""
"2025-10-24 14:21:41","BUY","BANKNIFTY25DEC57600PE","NRML","35/35",805.95,"COMPLETE",""
"2025-10-24 14:21:36","SELL","BANKNIFTY25DEC58000PE","NRML","35/35",959.7,"COMPLETE",""
"2025-10-24 14:21:30","BUY","BANKNIFTY25DEC57600PE","NRML","35/35",804.4,"COMPLETE",""
"2025-10-24 14:21:23","SELL","BANKNIFTY25DEC58000PE","NRML","35/35",958.6,"COMPLETE",""
"2025-10-24 14:21:11","BUY","BANKNIFTY25DEC57600PE","NRML","35/35",799.25,"COMPLETE",""
"2025-10-24 14:21:07","SELL","BANKNIFTY25DEC58000PE","NRML","35/35",955.2,"COMPLETE",""
"2025-10-24 14:20:56","BUY","BANKNIFTY25DEC57600PE","NRML","35/35",799.2,"COMPLETE",""
"2025-10-24 14:03:48","SELL","BANKNIFTY25NOV57500CE","NRML","35/35",959.05,"COMPLETE",""
"2025-10-24 14:03:39","BUY","BANKNIFTY25NOV57800CE","NRML","35/35",793.95,"COMPLETE",""
"2025-10-24 14:03:12","SELL","BANKNIFTY25NOV57500CE","NRML","35/35",955.3,"COMPLETE",""
"2025-10-24 14:03:06","BUY","BANKNIFTY25NOV59000CE","NRML","35/35",311.75,"COMPLETE",""
"2025-10-24 14:02:39","SELL","BANKNIFTY25NOV57000PE","NRML","35/35",411.05,"COMPLETE",""
"2025-10-24 14:02:32","BUY","BANKNIFTY25NOV58500PE","NRML","35/35",1100.9,"COMPLETE",""
"2025-10-24 14:01:58","SELL","BANKNIFTY25NOV57000PE","NRML","35/35",414.65,"COMPLETE",""
"2025-10-24 14:01:39","SELL","BANKNIFTY25NOV57700PE","NRML","175/175",678.05,"COMPLETE",""
"2025-10-24 14:01:26","BUY","BANKNIFTY25NOV57500PE","NRML","210/210",598.22,"COMPLETE",""
"2025-10-24 13:59:26","SELL","BANKNIFTY25DEC57500CE","NRML","0/35",0,"REJECTED",""
"2025-10-24 13:59:02","SELL","BANKNIFTY25DEC57500CE","NRML","35/35",1473.45,"COMPLETE",""
"2025-10-24 13:58:57","BUY","BANKNIFTY25DEC59000CE","NRML","35/35",723.6,"COMPLETE",""
"2025-10-24 13:58:42","SELL","BANKNIFTY25DEC57500CE","NRML","0/35",0,"REJECTED",""
"2025-10-24 13:58:38","BUY","BANKNIFTY25DEC58000CE","NRML","35/35",1185,"COMPLETE",""
"2025-10-24 13:58:17","SELL","BANKNIFTY25DEC57500CE","NRML","0/35",0,"REJECTED",""
"2025-10-24 13:56:47","BUY","NIFTY25NOV26000PE","NRML","75/75",383.15,"COMPLETE",""
"2025-10-24 13:56:38","SELL","NIFTY25NOV25850PE","NRML","150/150",308.05,"COMPLETE",""
"2025-10-24 13:56:31","BUY","NIFTY25NOV25750PE","NRML","150/150",268.43,"COMPLETE",""
"2025-10-24 13:56:15","SELL","NIFTY25NOV25500PE","NRML","75/75",184.5,"COMPLETE",""
"2025-10-24 13:56:08","BUY","NIFTY25NOV25750PE","NRML","75/75",270.85,"COMPLETE",""
"2025-10-24 13:10:07","SELL","BANKNIFTY25NOV57800PE","NRML","175/175",649.94,"COMPLETE",""
"2025-10-24 13:09:59","BUY","BANKNIFTY25NOV57700PE","NRML","175/175",611.7,"COMPLETE",""
"2025-10-24 13:09:05","SELL","BANKNIFTY25NOV57500CE","NRML","0/35",0,"REJECTED",""
"2025-10-24 13:08:48","SELL","BANKNIFTY25NOV57500CE","NRML","35/35",1033.4,"COMPLETE",""
"2025-10-24 13:08:45","BUY","BANKNIFTY25NOV55000CE","NRML","35/35",3079.1,"COMPLETE",""
"2025-10-24 12:55:43","SELL","BANKNIFTY25DEC60000CE","NRML","35/35",442.45,"COMPLETE",""
"2025-10-24 12:55:37","BUY","BANKNIFTY25DEC61000CE","NRML","35/35",245,"COMPLETE",""
"2025-10-24 12:54:49","SELL","BANKNIFTY25DEC60000CE","NRML","70/70",446.23,"COMPLETE",""
"2025-10-24 12:54:29","BUY","BANKNIFTY25DEC58000CE","NRML","35/35",1270,"COMPLETE",""
"2025-10-24 12:53:56","SELL","BANKNIFTY25NOV59000CE","NRML","35/35",361.3,"COMPLETE",""
"2025-10-24 12:53:30","BUY","BANKNIFTY25DEC59100CE","NRML","35/35",758.85,"COMPLETE",""
"2025-10-24 12:53:20","BUY","BANKNIFTY25DEC61000CE","NRML","35/35",245,"COMPLETE",""
"2025-10-24 12:52:40","SELL","BANKNIFTY25NOV59000CE","NRML","0/35",358,"REJECTED",""
"2025-10-24 12:52:25","BUY","BANKNIFTY25DEC61000CE","NRML","35/35",245,"COMPLETE",""
"2025-10-24 12:51:51","SELL","BANKNIFTY25DEC59100CE","NRML","35/35",725.45,"COMPLETE",""
"2025-10-24 12:51:29","BUY","BANKNIFTY25NOV59000CE","NRML","35/35",367,"COMPLETE",""
"2025-10-24 12:50:45","SELL","BANKNIFTY25DEC60000CE","NRML","35/35",460.05,"COMPLETE",""
"2025-10-24 12:50:30","SELL","BANKNIFTY25DEC60000CE","NRML","35/35",460.2,"COMPLETE",""
"2025-10-24 12:50:12","BUY","BANKNIFTY25DEC61000CE","NRML","70/70",255,"COMPLETE",""
"2025-10-24 11:37:05","SELL","BANKNIFTY25NOV59000CE","NRML","35/35",393.25,"COMPLETE",""
"2025-10-24 11:33:52","SELL","NIFTY25NOV26000CE","NRML","0/75",0,"REJECTED",""
"2025-10-24 11:33:29","SELL","NIFTY25NOV26050PE","NRML","75/75",369.2,"COMPLETE",""
"2025-10-24 11:33:18","BUY","NIFTY25NOV25850PE","NRML","75/75",282.3,"COMPLETE",""
"2025-10-24 11:29:44","SELL","NIFTY25DEC25500CE","NRML","75/75",901.05,"COMPLETE",""
"2025-10-24 11:29:35","BUY","NIFTY25DEC27000CE","NRML","75/75",172.4,"COMPLETE",""
"2025-10-24 10:25:25","SELL","NIFTY25NOV26500CE","NRML","75/75",145.15,"COMPLETE",""
"2025-10-24 10:25:07","SELL","NIFTY25NOV26500CE","NRML","75/75",144.3,"COMPLETE",""
"2025-10-24 10:24:16","SELL","BANKNIFTY25NOV58000PE","NRML","175/175",684.63,"COMPLETE",""
"2025-10-24 10:24:04","BUY","BANKNIFTY25NOV57800PE","NRML","175/175",610,"COMPLETE",""
"2025-10-24 10:22:56","BUY","BANKNIFTY25NOV57800CE","NRML","35/35",960.65,"COMPLETE",""
"2025-10-24 10:22:49","BUY","BANKNIFTY25NOV57000CE","NRML","0/35",0,"REJECTED",""
"2025-10-24 09:42:20","SELL","NIFTY25OCT25850CE","NRML","75/75",182.55,"COMPLETE",""
"2025-10-24 09:42:09","BUY","NIFTY25NOV25850CE","NRML","75/75",499.85,"COMPLETE",""
"2025-10-24 09:24:59","SELL","BANKNIFTY25DEC59000CE","NRML","35/35",937.05,"COMPLETE",""
"2025-10-24 09:21:52","BUY","NIFTY25OCT25850CE","NRML","75/75",158.5,"COMPLETE",""
"2025-10-24 09:20:22","BUY","BANKNIFTY25NOV58000CE","NRML","35/35",953.55,"COMPLETE",""
